#n	QuickSort(ns)	MergeSortList(ns)	SelectionSort(ns)
1	121	120	112
2	249	819	248
3	412	1710	465
4	559	2584	749
5	728	3565	1079
6	926	4546	1462
7	1129	5591	1925
8	1349	6581	2445
9	1593	7736	2984
10	1744	9014	3534
11	1959	9765	4284
12	2205	10969	4852
13	2459	12089	5668
14	2770	13976	6674
15	3016	14704	7274
16	3167	15069	8247
17	3671	16646	9286
18	3802	18040	10773
19	4022	19042	11351
20	4327	20273	12859
21	4565	21480	13694
22	4972	23861	15545
23	5180	24387	16611
24	5437	25711	18160
25	5906	26796	19125
26	6001	27397	20637
27	6367	29312	22309
28	6645	30678	24008
29	6947	31662	25430
30	7253	32956	27433
31	7793	34377	29261
32	7851	35674	30879
33	8076	37365	32685
34	8471	38429	34913
35	8822	40114	36692
36	9156	41818	39127
37	9604	42671	40885
38	9815	44205	44382
39	10409	46518	46053
40	10612	47849	48163
41	10796	48831	50203
42	11185	49554	52907
43	11476	50284	54734
44	11795	52443	57411
45	12343	54015	59856
46	12457	55392	62071
47	12937	56880	65349
48	13254	57852	67712
49	13391	59008	70957
50	13928	61704	74737
51	14608	64373	78166
52	14669	64339	79387
53	14981	65761	82620
54	15501	66551	85631
55	16148	70351	89960
56	16398	70165	93071
57	16766	70942	96544
58	16729	72687	98470
59	17005	73454	101991
60	17520	75055	104691
61	17955	77292	109483
62	18913	80597	116100
63	19292	82155	119647
64	18963	81759	119756
65	19303	82263	122998
66	19706	83758	126662
67	20013	85624	130970
68	20442	87343	134717
69	21236	90111	140332
70	21985	93374	147518
71	22279	95484	151628
72	22781	96491	154724
73	22506	95228	156434
74	24281	100727	166930
75	23152	97548	162853
76	23550	100647	170239
77	23840	101068	172015
78	24064	101899	176319
79	24708	104280	181806
80	25061	104646	185034
81	25418	106781	189171
82	26944	112397	201091
83	26737	113885	206038
84	27400	115135	210719
85	27846	118075	215566
86	27959	117819	218362
87	27594	116700	218544
88	28220	119466	225546
89	28406	119534	228005
90	28996	122558	235627
91	29312	122416	238615
92	29621	124303	244321
93	30234	124743	249862
94	30653	126614	255158
95	31113	128203	259160
96	31227	130460	265180
97	32276	134047	276754
98	33296	137165	285793
99	33507	138189	291149
100	34108	140834	296551
101	34523	141966	304327
102	33953	141664	299611
103	34445	141425	305018
104	34207	141651	310524
105	35974	144794	320186
106	36561	150336	333553
107	36907	151712	339538
108	37184	153690	345602
109	38114	156434	354726
110	38213	157153	358667
111	38478	158372	364747
112	39085	159233	372258
113	39472	161899	378407
114	39946	163436	385055
115	40379	164745	391345
116	41082	167427	399561
117	41530	168163	405032
118	41762	169920	411946
119	42186	172276	419221
120	42755	173104	425990
121	43116	173949	432984
122	43313	176200	440362
123	43750	177877	447301
124	44582	179785	453528
125	44894	181221	462093
126	45286	182283	469232
127	45591	183953	476258
128	46230	185743	483840
129	46612	187713	491296
130	47123	189439	499818
131	47334	190649	506157
132	47853	192386	514475
133	48525	195120	523070
134	47112	190023	512332
135	48377	193491	523851
136	48220	194811	533730
137	48315	194940	534309
138	48903	198604	546134
139	49191	198443	550706
140	49622	201324	560649
141	49597	203062	566752
142	50455	203091	574691
143	51204	205117	583958
144	51627	206193	589804
145	52418	210396	602932
146	52272	209292	608168
147	52663	212004	617282
148	53122	213099	623986
149	53684	214825	633828
150	54244	215717	640456
151	54662	218659	650990
152	54808	219868	659294
153	56026	221817	669331
154	55479	226381	673424
155	56031	225466	686512
156	56604	226636	691978
157	57204	228987	702840
158	57605	230320	709754
159	58360	232445	720944
160	58285	232982	728441
161	58633	235269	739349
162	59051	236115	747629
163	59985	241020	755536
164	60729	240513	766618
165	60720	242776	775335
166	60884	244408	783446
167	62339	247782	801925
168	61899	248515	806419
169	64648	256469	840386
170	63274	250438	823694
171	64013	251412	830365
172	63551	254164	845160
173	64604	255631	854389
174	64997	256582	861262
175	65143	259975	871955
176	65373	260586	879500
177	67189	262878	894278
178	67032	264479	901828
179	66795	265590	910099
180	67161	267864	924635
181	67575	269078	932138
182	68653	270500	940762
183	68657	271201	952430
184	69200	275303	962148
185	72529	283861	1004366
186	72555	285206	1015684
187	73161	287826	1026608
188	73258	288960	1036546
189	73846	290906	1048259
190	74522	293424	1060335
191	74807	296073	1071590
192	75299	296086	1081437
193	75748	297745	1097197
194	76054	300657	1104659
195	76593	301509	1115267
196	77541	303698	1125844
197	77690	306815	1137453
198	78114	307585	1150451
199	78449	309465	1160810
200	79217	310606	1172370
