#n	QuickSort(ns)	MergeSortList(ns)	SelectionSort(ns)
1	115	120	113
2	233	876	249
3	377	1812	453
4	562	2718	750
5	967	5285	1400
6	972	6036	1452
7	1206	5906	1881
8	1471	6596	2366
9	1768	7820	2985
10	2278	9794	3825
11	2696	11424	4679
12	4026	16917	7162
13	3822	15229	6565
14	3593	13697	6560
15	4258	15125	7868
16	5022	16984	8955
17	5322	18030	10073
18	5488	17974	10511
19	5998	18883	11701
20	6782	20632	12927
21	7129	21623	14164
22	7737	22967	15353
23	8462	24165	16717
24	9130	25809	18170
25	9691	26433	19663
26	10487	28540	21427
27	12218	29442	22826
28	11900	30126	24538
29	12706	32017	26128
30	13589	32743	27870
31	14369	33974	29735
32	15190	34776	32107
33	19050	47053	40336
34	21863	56838	45938
35	17907	39411	37561
36	18867	40849	39657
37	19780	42493	41852
38	20828	43182	44068
39	22572	45823	46638
40	22820	46380	50112
41	24522	49133	55329
42	25029	48965	53993
43	26117	50525	56014
44	27992	52792	59187
45	28704	54016	61574
46	29728	54713	64301
47	31723	56498	70465
48	32400	57436	70912
49	35276	59363	76953
50	35431	61740	76977
51	36251	63097	79356
52	37378	62680	81560
53	39453	64724	84674
54	40022	66700	87784
55	42957	69727	93445
56	43040	68641	95569
57	44719	70427	99415
58	47333	70549	101296
59	47396	71664	105569
60	55832	82796	121202
61	57554	83860	122737
62	53276	75880	117366
63	62079	91735	134150
64	60300	80080	124683
65	56972	80635	126423
66	59154	81145	130309
67	60132	82271	133636
68	62117	84311	138013
69	64617	85109	141486
70	65190	86509	145912
71	67840	88971	150981
72	69174	90085	154437
73	70673	91448	158405
74	72685	92727	162565
75	74698	95334	167420
76	77605	96148	173633
77	78656	97987	176205
78	80492	99505	180676
79	82564	100874	185059
80	84199	102082	189441
81	86815	104871	194848
82	88364	105072	199254
83	90389	105975	204078
84	93772	107612	208998
85	94651	108419	213649
86	96907	111594	219124
87	99726	111642	223979
88	101046	114035	228821
89	103371	114328	234163
90	105776	116643	239679
91	108008	117812	245432
92	110253	119331	250007
93	112451	120743	255460
94	115133	122098	260915
95	118394	123019	265932
96	119497	124600	271428
97	122226	126568	277597
98	124695	127798	283026
99	126960	129727	288807
100	129312	131547	294530
101	133318	135280	300358
102	134494	133194	306648
103	136875	135246	312695
104	139815	136497	318902
105	142236	138345	324148
106	144977	138865	330718
107	149117	140747	337121
108	150446	142139	343214
109	153263	144665	350837
110	156684	145576	355787
111	158322	145995	361972
112	163557	149377	368903
113	163994	150227	375411
114	166825	151620	381669
115	170050	152721	388945
116	172635	154038	395287
117	177267	155694	402329
118	178803	157494	409094
119	181591	159647	415906
120	184488	161317	424308
121	187278	160634	430004
122	190336	163221	436529
123	195113	166286	444407
124	196530	166379	451140
125	200004	167202	459404
126	202942	169390	465691
127	206279	169738	472858
128	211230	171483	480497
129	212496	172444	488554
130	215843	175467	495426
131	221152	175534	502646
132	222496	177708	509954
133	225426	179991	518664
134	230062	180754	526096
135	231951	182470	533891
136	235661	183967	542232
137	238907	185901	550548
138	243910	187467	557938
139	245710	189247	566618
140	249146	190657	573633
141	253685	194309	585873
142	256286	193485	590507
143	260192	196975	599104
144	263539	196893	606802
145	267225	198948	615302
146	270470	200075	624037
147	274071	201727	632671
148	278032	203926	641390
149	281255	205103	649458
150	285607	207807	658004
151	289244	207983	667027
152	292847	208978	675716
153	296721	211931	685385
154	300224	212666	694671
155	303922	214488	702901
156	308289	215746	712363
157	311531	217672	720813
158	315550	218297	730144
159	319603	220962	739183
160	323645	222040	748726
161	327158	224198	757677
162	331650	225868	767338
163	335353	226870	776239
164	340204	228331	786541
165	343397	230421	796201
166	347318	231632	805320
167	352081	234224	815519
168	355885	234821	824599
169	362662	238878	837221
170	364616	238895	844338
171	368358	240215	854229
172	372604	240928	864196
173	377560	243319	875587
174	381544	244210	884156
175	388083	246961	894751
176	390021	248520	907029
177	395002	249577	915873
178	398847	251713	924950
179	403643	253481	936157
180	409285	257103	946811
181	412034	257152	956522
182	416555	258148	967496
183	420996	261690	977854
184	425178	260664	989174
185	429594	261556	999979
186	434558	263639	1010070
187	439655	266307	1021233
188	444038	266316	1032942
189	448463	268195	1043550
190	452863	269094	1054028
191	458056	270598	1063787
192	462409	271446	1076494
193	471430	274710	1089125
194	471837	274819	1098210
195	477018	278204	1109277
196	481564	278276	1121382
197	491072	281831	1131631
198	491153	282413	1143627
199	496165	284046	1155519
200	501007	285526	1166754
