#n	QuickSort(ns)	MergeSortList(ns)	SelectionSort(ns)
1	119	121	112
2	243	818	253
3	401	1694	475
4	568	2542	745
5	757	3594	1100
6	944	4610	1471
7	1126	5549	1905
8	1341	6514	2405
9	1588	7733	2992
10	1826	8713	3584
11	2058	9860	4259
12	2287	11022	5022
13	2498	12259	5675
14	2667	13021	6412
15	2940	13939	7331
16	3201	15346	8223
17	3460	16478	9175
18	3743	17688	10231
19	4052	18705	11494
20	4312	20675	12572
21	4600	21297	13674
22	4844	22403	14938
23	5091	23864	16449
24	5384	25542	17916
25	5729	26219	19017
26	6017	27138	20557
27	6329	28853	22045
28	6610	30282	23727
29	6909	31788	25308
30	7242	32534	26995
31	7567	33996	29248
32	7845	35314	30634
33	8103	36494	32455
34	8570	37805	35082
35	9091	40472	37585
36	9354	41192	38964
37	9303	41702	40486
38	9674	43447	42663
39	10074	44500	44857
40	10634	47558	48313
41	10982	47451	49579
42	11181	48543	51771
43	11360	49968	54662
44	11855	51353	56967
45	12081	53303	59228
46	12468	54053	61806
47	12813	56043	64599
48	13290	57902	68104
49	13480	58739	70136
50	14390	63274	75859
51	14228	62250	76631
52	14534	62535	78570
53	14886	63835	81855
54	15185	66351	84861
55	15667	67543	88977
56	15824	68824	91080
57	16232	69152	93935
58	16629	71901	97335
59	17117	73140	100773
60	17265	75005	104374
61	17900	76584	108840
62	17966	76736	111076
63	18507	77834	114586
64	19113	79207	118312
65	19178	80723	121838
66	19623	81666	125191
67	19919	84146	129243
68	20838	86661	134929
69	21384	89893	142276
70	21746	92636	146632
71	22271	94045	150556
72	22614	95120	154908
73	22993	97094	159955
74	23443	98774	163401
75	23961	99574	167689
76	24216	101858	172422
77	24729	103201	176990
78	25090	105047	181099
79	25433	106451	185963
80	25855	107633	190464
81	26323	108732	195198
82	26549	110808	200139
83	26999	112137	204904
84	27653	114134	209700
85	28000	115557	214620
86	28248	116756	219689
87	28620	118678	224537
88	29607	122811	232275
89	29226	121627	234994
90	29832	123842	240365
91	30386	125601	245853
92	31272	129987	251102
93	30958	128071	256499
94	31531	130193	261682
95	32069	131197	267411
96	32453	133238	273322
97	32809	134281	278626
98	33012	135905	284199
99	33479	137807	290129
100	33617	138614	296050
101	34505	141206	302208
102	34685	142535	307481
103	35564	144132	313429
104	35719	146077	320016
105	36358	148069	325839
106	36593	148898	331856
107	37059	150724	338101
108	37581	152617	344335
109	37996	154263	351025
110	38246	155009	356871
111	38460	157455	363610
112	39364	158773	373041
113	39685	159697	376438
114	39898	162682	383574
115	40326	165985	390926
116	40749	165540	396692
117	41250	167124	403410
118	41482	168626	410262
119	41906	170085	417859
120	42544	172345	423897
121	43056	173973	431195
122	43500	175443	438293
123	44080	177128	445202
124	44332	179298	452659
125	44916	180148	459687
126	45158	181412	467109
127	45939	184455	475422
128	46365	184582	481900
129	46738	186667	489264
130	48291	194664	510421
131	47714	189508	504214
132	47695	191184	512278
133	48045	193452	519797
134	48549	194822	527600
135	49201	197020	536430
136	49414	198264	543127
137	49965	199982	551367
138	50306	201098	559003
139	51101	203863	567298
140	51244	206489	575549
141	52333	208964	587929
142	50611	202416	570635
143	50356	203100	577071
144	51444	204798	588404
145	51513	205439	595629
146	52089	208082	601944
147	54374	216593	632492
148	52975	210979	619578
149	54251	216153	630858
150	54206	213667	636101
151	55031	220759	654369
152	56510	225946	677923
153	57188	230353	688780
154	57791	228969	694742
155	58246	234428	703998
156	58775	232798	713200
157	58822	233845	722222
158	59417	235405	731163
159	60058	237447	740417
160	60755	239678	750055
161	61268	244057	761367
162	61589	243444	769281
163	61636	244484	778026
164	63025	249346	787312
165	62775	249795	798317
166	62915	250227	806595
167	63063	250660	815849
168	64495	254477	826128
169	64468	255561	836319
170	65177	257619	845633
171	66082	258486	856171
172	65904	260099	864958
173	66885	262967	875908
174	66914	263944	885689
175	67324	265047	895967
176	67984	266765	905913
177	68296	268867	918155
178	68834	271797	926335
179	68814	272194	936660
180	69673	273941	946955
181	70535	275053	957303
182	70721	276245	970694
183	71442	283755	980154
184	69802	271856	955997
185	71448	284521	1002325
186	73037	287700	1011071
187	72665	285500	1020925
188	73178	287733	1032507
189	74256	290040	1043129
190	74451	291731	1054197
191	72047	282982	1027352
192	74581	292133	1060083
193	75777	295938	1088015
194	76484	297530	1099199
195	76965	299388	1110550
196	78512	305982	1137059
197	75069	292298	1092388
198	75951	294098	1106092
199	76824	303292	1119239
200	78189	301880	1128065
