#n	QuickSort(ns)	MergeSortList(ns)	SelectionSort(ns)
1	113	128	106
2	239	841	246
3	381	1715	469
4	555	2544	739
5	742	3649	1075
6	978	4633	1455
7	1202	5603	1898
8	1661	7564	2654
9	1839	8466	3023
10	2449	10347	4215
11	2920	12661	4993
12	2784	11096	5066
13	3180	12679	5791
14	3575	13755	6633
15	4019	14743	7630
16	4500	16438	8549
17	5043	17191	9628
18	5663	19231	11018
19	6047	20744	11900
20	6541	20978	12982
21	7100	22655	14246
22	7777	23641	15503
23	8680	26084	17152
24	9201	27908	18637
25	10077	28555	20387
26	10551	29054	21718
27	11223	31005	23354
28	11832	31682	24781
29	12805	33076	27084
30	13448	34169	28310
31	14189	35616	30129
32	15139	36517	32005
33	16083	38655	33931
34	16782	39955	35896
35	17824	41209	38079
36	18908	42865	40437
37	19655	43604	42278
38	20684	45283	44479
39	21857	47282	46950
40	22825	48278	49257
41	25730	50979	52014
42	26055	54364	57701
43	32470	64830	68339
44	30870	64456	67932
45	29884	59039	63838
46	34810	69765	75882
47	33592	64821	72039
48	32959	63393	73742
49	47553	90326	101460
50	42504	80726	89884
51	41595	80745	89863
52	44382	84812	100878
53	40320	72980	90730
54	43033	72940	92425
55	42411	72959	93340
56	43646	74813	97620
57	44567	76138	101009
58	56750	95208	125258
59	47851	77921	109242
60	48911	77641	109393
61	51650	79464	112625
62	54051	83426	118818
63	55566	85300	123558
64	61070	93434	135138
65	57661	87444	130216
66	73550	115429	164521
67	73545	111295	164431
68	75256	110024	167191
69	65862	95983	148785
70	64978	92389	147439
71	67905	98175	152966
72	69023	96507	156404
73	71676	102430	161590
74	72702	98511	164295
75	74594	102571	169588
76	80771	110228	185164
77	78370	103555	177513
78	81259	108723	186095
79	82100	108427	187729
80	85902	112619	195094
81	102664	136274	234588
82	90631	115679	204723
83	101651	133823	230741
84	113729	147722	257252
85	102287	127444	231994
86	103516	127512	231453
87	98565	119559	227327
88	100573	121151	231073
89	117320	144104	273783
90	122992	147146	277993
91	133570	165308	306315
92	136472	165478	313808
93	114990	133138	263735
94	118984	134407	269068
95	117545	132806	272083
96	140021	160424	316402
97	145575	167969	328559
98	158053	174265	360838
99	127126	139079	297395
100	131000	139564	298401
101	131078	141567	303810
102	152053	163411	338270
103	141015	148874	322905
104	141315	149228	328273
105	143352	149642	331692
106	144913	150424	336889
107	149634	154281	345525
108	150729	152262	346399
109	154703	156138	361373
110	156190	157466	360094
111	157483	158736	366054
112	160123	159256	372335
113	166353	167582	384790
114	166494	161998	387089
115	168574	164188	394392
116	172189	167064	398765
117	176486	166355	405305
118	177916	169123	413087
119	179952	169341	420228
120	186188	171514	426276
121	185679	173423	436950
122	191529	175114	440557
123	191601	175720	448072
124	196933	180312	458170
125	197749	179090	463438
126	206272	185214	482605
127	205821	181979	477345
128	208612	186124	488438
129	211738	185272	493016
130	214672	187563	500069
131	218218	189189	507936
132	219857	193152	515305
133	223308	192287	523911
134	226883	194138	530740
135	229882	196051	539597
136	233116	197231	550829
137	236277	198531	554369
138	239959	201334	563139
139	243668	202507	571713
140	251086	205373	586218
141	266023	220778	621522
142	253593	207724	595071
143	257127	209028	603579
144	260622	211479	612235
145	266953	213153	620367
146	267714	214909	628846
147	271340	216548	637323
148	276659	220184	649070
149	278630	220430	655845
150	282055	221652	663692
151	285663	224222	672749
152	289632	224446	681735
153	293440	227179	690234
154	296980	229184	699645
155	301189	230833	712565
156	304651	232349	717817
157	308490	233926	726735
158	312597	235594	735662
159	316465	237160	745349
160	320735	238581	754836
161	324471	240611	764024
162	327915	241413	773251
163	332029	244092	783676
164	336022	245595	794105
165	339984	247841	801875
166	346881	249130	811677
167	348280	251502	822096
168	352607	253091	830904
169	356477	254636	840945
170	360657	255172	851179
171	365964	257856	860654
172	369079	259025	870975
173	372872	260909	881035
174	389112	271044	914675
175	381676	264164	902000
176	386013	266795	912627
177	394083	270104	925878
178	394370	270151	936717
179	399514	271054	943226
180	404187	275103	953964
181	407830	274929	963832
182	412112	277533	974570
183	416921	278776	988937
184	421071	281108	996257
185	428141	285549	1015979
186	430308	283455	1017475
187	438017	287004	1033298
188	439380	288062	1039149
189	444805	289574	1051572
190	448725	290208	1061486
191	453484	292926	1076615
192	457897	293861	1083680
193	464474	297746	1096363
194	467606	297044	1107104
195	471993	299850	1118070
196	477058	302072	1131703
197	481334	303212	1140019
198	490808	304567	1155295
199	491509	305279	1164189
200	496213	308460	1178412
