# InsertionSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	200	100	400
11	900	6500	4900
21	1500	23900	15000
31	2100	53400	33600
41	2800	94900	46200
51	3400	146400	68900
61	4000	213200	107900
71	4700	286300	144700
81	5400	390800	196900
91	7800	652900	372400
101	10000	875700	430800
111	7300	708400	467800
121	7900	837700	428800
131	8600	984300	482800
141	9300	1148700	489000
151	9900	1311200	647300
161	10500	1494000	745200
171	11200	1683100	860600
181	11900	1892100	972400
191	12400	2105000	1077900
201	13200	2324700	1179500
211	13800	2565600	1284900
221	14400	2830700	1391500
231	15100	3073400	1543100
241	15800	3350300	1689100
251	16300	3633100	1838800
261	17100	3926100	2001400
271	17600	4224900	2158300
281	18400	4549300	2241000
291	19000	4883000	2304700
301	19700	5215400	2523100
311	20200	5588700	2914500
321	20900	5928800	3017700
331	21500	6324500	2993300
341	22200	6709800	3318700
351	22900	7100800	3514500
361	23500	7523700	3556900
371	24200	7938000	4005700
381	24800	8370500	4219900
391	25500	8825900	4285000
401	26100	9325700	4447700
411	26800	9740100	4918800
421	27400	10231400	5046900
431	28200	10723700	5932800
441	28800	11216000	5755100
451	29400	11750700	5902700
461	33000	12318200	6350200
471	30700	12789800	6240700
481	31300	13354100	6821800
491	32000	13917300	7229700
501	32600	14485700	7211900
511	33300	15107100	7290600
521	33900	15681900	7334700
531	45600	16370600	8030000
541	35100	16905300	8240400
551	36200	17525800	8810400
561	36500	18197800	9247700
571	37100	18825400	9735000
581	38000	19510200	9313000
591	38600	20189900	9739300
601	39200	20837500	10310300
611	39800	21566300	10565900
621	40500	22301500	11264700
631	41100	23007900	11578700
641	41800	23741800	11504200
651	42400	24562000	12100600
661	43000	25257300	12444600
671	43600	26116800	13009600
681	44300	26793000	13760500
691	45100	27588900	14122100
701	45900	28516500	13555500
711	46400	29493000	14798400
721	47300	30053500	15067300
731	47600	30883300	16074800
741	48200	31720600	15472000
751	50600	32630500	16505500
761	49400	33493900	16403400
771	50100	34364600	17634200
781	50800	35261300	17636900
791	51500	36187100	17516600
801	52100	37114300	18885600
811	52600	38039800	18906700
821	53400	39012500	19081500
831	54300	39916700	19103100
841	54700	40866400	20262800
851	55300	41972800	21811500
861	56000	42862500	22207700
871	56700	43856000	22356900
881	57300	44846700	22533500
891	58000	46136500	23855500
901	58700	46900700	23892300
911	59200	47992900	23807900
921	59900	49014100	24999300
931	60300	50080200	24954200
941	61200	51219600	25700900
951	61900	52302000	26597200
961	62500	53387400	27023800
971	63100	54506300	27091000
981	63600	55643100	26884200
991	64600	56778600	28869800
