# SelectionSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	100	100	200
11	4000	6600	5600
21	14000	23100	18400
31	30600	53400	42800
41	53200	80700	75100
51	82200	139200	119400
61	117500	207500	166500
71	158900	266600	224000
81	207300	338000	291100
91	260800	424600	368600
101	321100	536900	456800
111	389900	653200	551500
121	463500	778100	653900
131	543900	911200	770300
141	626800	1047400	861100
151	721200	1215900	1019900
161	815800	1356700	1168500
171	922700	1590600	1323500
181	1037000	1711100	1450700
191	1150500	1898700	1590300
201	1272400	2128700	1840900
211	1411200	2390600	2030400
221	1538300	2568500	2192400
231	1682400	2849200	2433500
241	1833000	3106400	2590300
251	1981700	3318400	2745600
261	2144200	3585000	2977600
271	2318000	3891000	3280200
281	2493900	4255700	3524300
291	2676600	4351300	3708100
301	2856000	4678100	3989400
311	3053000	5181600	4278400
321	3260000	5446600	4617700
331	3455300	5740700	4883700
341	3668400	6080900	5048900
351	3887500	6407800	5458500
361	4102500	6776900	5686100
371	4341000	7052600	6002500
381	4575600	7666800	6354900
391	4821500	8062600	6674700
401	5060900	8525200	7104700
411	5322400	8930600	7561800
421	5583800	9412400	7862700
431	5894800	9713400	8195700
441	6131500	10200600	8492200
451	6409400	10626800	9009500
461	6698700	11077600	9446000
471	6994300	11705400	9713500
481	7294400	12304200	10260600
491	7600800	12696000	10534500
501	7934800	13328200	11135600
511	8230800	13934900	11778700
521	8563500	14315400	11905500
531	8896000	15348000	12644500
541	9359400	15833700	13220900
551	9580200	15872400	13363400
561	9952600	16778600	13914200
571	10279400	17189300	16118700
581	10647900	18064500	15340500
591	11009400	18413200	15627200
601	11395200	19482100	15739700
611	11774800	19624800	16436000
621	12152700	20405500	16881400
631	12543600	20716800	17469400
641	12954900	21619800	18321000
651	13358500	22356200	18574000
661	13763700	23015600	19247700
671	14187200	23915800	20058100
681	14824200	24355700	20549800
691	15057800	25286500	21392400
701	15504800	26147500	21832600
711	15938100	27016200	22112200
721	16389400	27558300	22911800
731	16835400	29001300	23632100
741	17315400	29244200	24539700
751	17783900	29903700	25283500
761	18254400	31127800	26143200
771	18739800	31368000	26288700
781	19230900	32328400	27060100
791	19733800	33048600	27393500
801	20237900	33764100	28871200
811	20737500	34841200	28731600
821	21261000	35397800	29700800
831	21772800	36253500	30442800
841	22315800	38135900	31524700
851	22831900	37938400	32187600
861	24468800	38634600	32910200
871	23941700	40183900	33560900
881	24481000	41089900	34323800
891	25050400	41865300	35011200
901	25599800	42877400	35813800
911	26176500	42996500	36471100
921	26730400	44137000	37319300
931	27340000	45984100	38222300
941	27914700	46522300	39295700
951	28690000	47837300	40040700
961	29124800	48878300	40896300
971	29704200	49484900	41354100
981	31089100	50635400	43045900
991	30965300	51613800	43770300
