# BubbleSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	300	300	600
11	10600	18400	13000
21	37700	75900	55800
31	81500	113000	89600
41	104900	276900	150600
51	224400	227100	283600
61	118300	234400	180400
71	161700	316700	237900
81	209400	414600	319900
91	264600	522900	400900
101	327500	649400	490200
111	394200	787300	605900
121	466500	920800	713000
131	552400	1082000	834700
141	634000	1253800	964700
151	1063500	1457100	1301600
161	824600	1651000	1243700
171	931900	1843700	1425100
181	1046400	2077200	1630800
191	1165700	2501200	1809100
201	1284900	2551500	2002300
211	1483500	2812200	2212800
221	1550700	3086500	2436000
231	1697900	3359000	2579800
241	1848200	3665800	2787100
251	2008000	3980100	3012400
261	2165400	4305700	3363800
271	2338700	4630600	3531800
281	2515900	5122100	3874700
291	2695700	5451500	4071700
301	2889500	6387100	4407600
311	3235100	6104100	6621900
321	3276500	6504800	5042500
331	3490400	6905600	5652000
341	3699700	7330900	5488700
351	3915700	8741300	6022500
361	4837400	13262500	6746500
371	4381200	8926700	6668300
381	4612600	9185700	7025100
391	4868800	9661600	7473300
401	5128800	10163500	7814000
411	5379900	10894300	8168200
421	5719400	11219000	8693800
431	5920300	11817100	9264200
441	6193200	12392400	9572500
451	6512700	12928200	10073300
461	6847500	13464700	10410700
471	7043100	14038000	10744200
481	7360700	14625500	11154600
491	7673600	15248800	11802300
501	8007900	16058900	12154900
511	8410300	17233900	13001300
521	8660100	17184800	13500100
531	8987900	18036200	13722700
541	9408800	18515100	17714500
551	10714700	23918400	14690100
561	10141100	20373900	17903400
571	10397100	20621400	15693900
581	10751200	21338600	16443200
591	11104600	22101500	16884200
601	11699500	23115800	17471300
611	11891800	23602200	17877000
621	12261700	24385900	18651300
631	12665800	25193200	19707600
641	13158300	25980000	19735100
651	13482800	26817300	20377600
661	13886700	27731000	21159400
671	14334500	28473400	21714100
681	14753300	29308800	22209800
691	15194400	30226500	22924800
701	15738200	31082600	24166200
711	16073800	31947600	24709300
721	16538500	32887100	25121700
731	17051500	33833300	26111700
741	17462700	34706500	26484500
751	17952300	36212100	27199800
761	18440500	36596500	28158300
771	18914000	37584900	28860600
781	19410700	38619300	30316900
791	19923200	39560400	30483100
801	20471400	40653500	31254300
811	20903800	41663600	31679000
821	21858700	42736100	33117100
831	21933100	43711100	33635600
841	22493300	44796200	34314300
851	23016600	45844200	34736400
861	23595500	47021800	35981800
871	24124000	47931900	37522600
881	24716900	49089900	37002300
891	25316700	50199300	38682000
901	25829200	51424400	39709000
911	26387100	52499000	40595100
921	27299600	53590200	40992900
931	27660500	54842000	41810900
941	28143500	55965500	43308600
951	28779500	57241200	43420400
961	29361700	58451000	44418100
971	29962800	59580300	45967000
981	30595400	60844600	46461600
991	31235300	62121500	47235200
