# BubbleSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	200	200	300
11	6000	10900	8200
21	20800	28200	31100
31	48500	65400	52900
41	66300	103700	88600
51	87700	188000	130000
61	121200	230400	169400
71	160100	317900	247200
81	208000	412200	311600
91	262600	519500	402900
101	325300	638400	476900
111	390300	774200	576200
121	462900	919800	720900
131	544600	1077200	844300
141	642200	1502800	935000
151	801400	1589400	1140700
161	829100	1627200	1689100
171	928700	1838400	1397500
181	1120200	2177400	1610900
191	1155100	2292800	1793600
201	1283300	2541700	1968800
211	2136800	3269000	2290100
221	1585200	3128300	2334400
231	1684900	3357100	2543600
241	1836300	3655400	2814800
251	1992500	3960100	3107300
261	2160800	4282300	3292100
271	2323700	4714400	4333300
281	2503900	4970300	3818600
291	2721700	5331900	4035400
301	3150700	5725200	4403500
311	3066400	6100500	4644000
321	3329600	6786400	5603700
331	3483700	7028500	5876100
341	3674600	7316000	5651800
351	3891200	7766800	5993600
361	4131500	8210300	6342000
371	4370300	8689700	6536900
381	4601500	9182000	7026700
391	4834900	9745800	7466400
401	5104700	10188100	7842800
411	5508500	10672800	8179000
421	5851400	11253100	8758700
431	5972200	12221500	9314200
441	6156400	12251300	9498100
451	6423500	12823700	9780300
461	6786500	13496300	10184500
471	7031900	14591400	10595200
481	7557100	15141000	12474500
491	7916600	15234800	11917500
501	8024300	16064900	12202400
511	8399900	18379500	12859100
521	8587500	17118900	15473000
531	8930900	20364500	13311800
541	9376300	18459000	18246500
551	9609100	19139800	14924700
561	9961000	19866800	15218300
571	10310000	20542800	15674700
581	10675800	21558800	16373600
591	11066000	23856400	16893100
601	11455200	22867200	17538300
611	11834600	23682600	17975100
621	12402000	24355600	25939000
631	12574600	25110800	19408100
641	12991900	26009800	19974300
651	13505100	26714700	20281000
661	13826300	27572400	21134200
671	14227300	28388400	21684700
681	14654000	29241400	22530400
691	15108300	30100600	23018400
701	15531100	30983000	24158200
711	15969200	31873800	24323900
721	16544800	32816300	25121900
731	16918000	33684000	26112000
741	17341100	34625300	27045600
751	17828000	35555500	26927200
761	18294000	36514400	27989900
771	18782500	37643700	29036900
781	19276700	38467100	29600900
791	19761500	39445900	30335700
801	20284600	40452900	30540000
811	20789900	41569800	31450400
821	21405600	42614600	32209900
831	21814200	43628000	33573800
841	22558800	44641300	33788300
851	22884200	45776700	35299100
861	23574300	46788700	36152900
871	23984600	47839000	36593600
881	24560300	48964600	37817700
891	25070100	50160300	38067500
901	25652900	51571800	39585300
911	26211300	52475700	40073600
921	27268800	53550500	40870800
931	27447700	54731700	42189000
941	28136000	55956300	42563600
951	28777700	57055400	45681300
961	29149600	58481400	44469400
971	29780300	59555900	45943100
981	30390000	60744500	47248700
991	31036100	61948600	47235600
