# InsertionSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	100	200	300
11	900	6300	4800
21	1400	23800	12100
31	2100	53300	23200
41	2800	94500	46700
51	3400	149200	61300
61	4000	211100	112100
71	4700	287900	149300
81	5400	375300	222000
91	6100	473100	254700
101	6600	584300	311300
111	7300	707300	376600
121	7900	836900	490500
131	8500	985600	531100
141	9200	1139800	555200
151	9900	1308900	662200
161	10600	1486000	741300
171	11200	1693900	839300
181	11800	1879600	962500
191	12500	2092800	933700
201	13100	2323800	1156000
211	13700	2558500	1314500
221	14400	2932300	1352100
231	15100	3064800	1538600
241	15600	3341300	1609800
251	16300	3623700	1830700
261	17000	3915900	1899000
271	17600	4224400	2051600
281	18300	4542700	2301200
291	18900	4870400	2270400
301	19500	5213100	2823100
311	20200	5564600	2773500
321	20900	5929300	2796400
331	21400	6313000	3218100
341	22000	6698100	3285100
351	22800	7092100	3537800
361	23500	7504900	3619700
371	24100	7930900	4004200
381	24700	8367400	4232900
391	25300	8814600	4363800
401	25900	9261100	4547400
411	26500	9737900	5182200
421	27200	10219600	5299000
431	27800	10708300	5302200
441	28500	11204000	5667200
451	29200	11722300	5874000
461	29800	12257100	6072200
471	32500	12780500	6514900
481	31100	13337300	6474400
491	31700	13917000	6928000
501	32500	14467700	7910300
511	33100	15051500	7441600
521	33700	15649300	7718100
531	34300	16254200	8036700
541	35000	16875700	8311700
551	35700	17507700	8973700
561	36300	18149700	8930300
571	36900	18808100	9338800
581	39300	19473300	9706500
591	38200	20143900	10481700
601	38800	20822700	10403000
611	39600	21518800	11219000
621	40200	22237200	10851600
631	40800	22976500	11537500
641	41600	23721700	11339700
651	42200	24440000	12614500
661	42900	25199200	13266800
671	43300	25966200	13478900
681	44000	26747200	13708100
691	44800	27605100	13527600
701	45300	28344200	13857300
711	46000	29192000	14431900
721	46600	29981300	14838400
731	47200	30841900	15652000
741	47900	31688000	15774300
751	48600	32538100	16329800
761	49100	33407200	16675000
771	49900	34292800	16594700
781	50700	35215400	17547000
791	51100	36097400	17895000
801	52000	37013300	18352300
811	52300	37957200	19270800
821	53100	38897200	19902400
831	53800	39843400	19653300
841	54200	40802700	20313200
851	54900	41793000	20978100
861	55700	42776500	21604700
871	56300	43802700	21339000
881	57200	44801300	22772600
891	57600	45836200	23864600
901	58400	46957600	24638200
911	59000	48004400	24762800
921	59700	48971500	24723200
931	60400	50089100	25249700
941	61000	51205600	25899500
951	61500	52230500	26356900
961	62100	53335800	26870900
971	62900	54435200	27837600
981	63600	55575000	28173100
991	64100	56762100	28635900
