# SelectionSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	200	100	200
11	4500	7200	4700
21	15100	15300	15400
31	31900	32200	32500
41	54900	55300	55600
51	86800	84200	85200
61	119500	122700	121000
71	161400	161300	162900
81	212000	209700	211100
91	264600	265700	265400
101	323500	327100	327500
111	391800	390300	393200
121	466400	465000	468400
131	545000	544200	547200
141	627400	633300	634900
151	724500	721500	724700
161	820800	819800	822700
171	926800	922600	926400
181	1035500	1036200	1038300
191	1150600	1153900	1155000
201	1275200	1276200	1278300
211	1399700	1406000	1408700
221	1550900	1542000	1541500
231	1684300	1686100	1685400
241	1826400	1830600	1838500
251	1987200	1975800	1986200
261	2142500	2145800	2151100
271	2311300	2308800	2311800
281	2486400	2487000	2493000
291	2662700	2666500	2675300
301	2852900	2851500	2853500
311	3037900	3043500	3050500
321	3241300	3241600	3242400
331	3440500	3441000	3446200
341	3650400	3646200	3660400
351	3872300	3863000	3873900
361	4087400	4092700	4099600
371	4317100	4325900	4327000
381	4562400	4550500	4569600
391	4796600	4796800	4808200
401	5050800	5041900	5056400
411	5297600	5301200	5309800
421	5576900	5573100	5574300
431	5833700	5825400	5842200
441	6097800	6106000	6113300
451	6371500	6379300	6395700
461	6665400	6662100	6670500
471	6956400	6955900	6970800
481	7258600	7268300	7261400
491	7557400	7562800	7575100
501	7857000	7867200	7883700
511	8183700	8279700	8202000
521	8519000	8541800	9302200
531	8829100	8848700	8852800
541	9178100	9184500	9275100
551	9514500	9514100	9533000
561	9852200	9871400	9885500
571	10203500	10222500	10236800
581	10567300	10589300	10593700
591	10968000	10985200	11111400
601	11350100	11357000	11336200
611	11699500	11716000	11711100
621	12071600	12104400	12103500
631	12480000	12481400	12484900
641	12869600	13026600	12910700
651	13273700	13429100	13291000
661	13674500	13717900	13727400
671	14116900	14117000	14119400
681	14515100	14540800	14533000
691	14946400	15222000	14980200
701	15489000	15408500	15424000
711	15824000	15866200	15858900
721	16290200	16345600	16332400
731	16722600	16741200	16776000
741	17189600	17223700	17263300
751	17651200	17681300	17691700
761	18124200	18155500	18172000
771	18608800	18626300	18650200
781	19104800	19115800	19134600
791	19601000	19605500	19596700
801	20068700	20097200	20119400
811	20675300	20633700	20622200
821	21120800	21145400	21140800
831	21599200	21618400	21665600
841	22869600	22169700	22182200
851	22697100	22674700	22706300
861	23182300	23227500	23229800
871	23733400	23753800	23781800
881	24305100	24316300	24333900
891	24888700	24854400	24893500
901	25393100	25430900	25453700
911	25992800	25993500	26015300
921	26556200	26616000	26564200
931	27137100	27144600	27167900
941	27698800	27737200	27737500
951	28340600	28878600	28475000
961	28900700	29049000	28935700
971	29720400	29775300	29526200
981	30092900	30153000	30299900
991	30754000	30926500	30790400
